,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/activities/prefixes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/current-prefixes,v_/ports#link-tr-ssm-b-1-y/metrics/network-outgoing-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/as-path/total-entries,v_/ports#link-intgw-exgw-a-3-x/metrics/network-outgoing-bytes-rate,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/address-families/address-family/prefixes/total-entries,v_/devices#RR-01/power_state,n_/devices/modules/Cisco-IOS-XE-interfaces-oper/interfaces/interface/diffserv-info/diffserv-target-classifier-stats/queuing-stats/drop-pkts,v_/ports#link-tr-intgw-a-3-x/metrics/network-incoming-bytes,n_/devices/modules/Cisco-IOS-XE-bgp-oper/bgp-state-data/neighbors/neighbor/prefix-activity/sent/explicit-withdraw,p_/computes0/metrics/compute-node/compute-node-cpu-idle-percent,v_/ports#TR-02/metrics/network-outgoing-packets,v_/ports#TR-01/metrics/network-outgoing-packets,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-bytes-rate,v_/ports#link-tr-intgw-a-2-x/metrics/network-outgoing-bytes
11,1679919,7835,15248546954534,3114,634885,7835,1,96980983,178108512,4,64,12562034,15113846,1257692,19015944235858
12,1688476,7835,15768819565475,3114,520112,7835,1,118344447,180011399,4,64,12683684,15259528,1257704,19291795198931
13,1694229,7835,16241055226260,3117,842329,7835,1,137853049,181985096,4,63,12793203,15390773,1257606,19540277198983
14,1694339,7835,16260842925987,3272,998940,7835,1,138666257,182084601,4,63,12797714,15396176,1257354,19550571852710
15,1667869,7835,14444734967484,4670,1137576,7835,1,63811884,175455473,5,63,12373782,14888530,1125008,18589503082471
16,1667103,7835,14373151471324,4665,1034604,7835,1,60744045,175213121,5,63,12356966,14868288,1249324,18551575711048
17,1667506,7835,14417430988387,4670,1116381,7835,1,62593476,175368802,5,63,12367305,14880727,1235794,18575095271960
18,1667310,7835,14404826279742,4670,1071682,7835,1,62025104,175335041,5,63,12364346,14877187,1241441,18568447002017
19,1667283,7835,14401130282964,4670,1090904,7835,1,61865194,175322732,5,63,12363462,14876100,1242627,18566519724387
20,1667505,7835,14406137863240,4670,1136224,7835,1,62221465,175321246,5,63,12364763,14877696,1125150,18569015146500
21,1666869,7835,14345252393012,4669,1063914,7835,1,59625553,175114480,5,63,12350478,14860526,1242014,18536742156042
22,1666966,7835,14357965173044,4666,1057269,7835,1,60096126,175163050,5,63,12353385,14863947,1250955,18543581289173
23,1667028,7835,14367856642808,4669,1077907,7835,1,60513223,175200347,5,63,12355706,14866774,1246272,18548820743322
24,1666815,7835,14346147087234,4656,1027258,7835,1,59565763,175129225,5,63,12350598,14860588,1253270,18537367024498
25,1692440,7835,16079384151545,3114,582759,7835,1,131035293,181298321,4,63,12755837,15345994,1257701,19455828420169
26,1691186,7835,15962384566504,4437,1058996,7835,1,126584666,180765379,5,64,12729018,15314300,1248253,19393604031104
27,1693943,7835,16207517246319,3115,930125,7835,1,136450676,181833465,4,63,12785497,15381563,1257663,19522805507180
28,1694297,7835,16253130660312,3226,875212,7835,1,138348902,182045980,4,64,12795960,15394078,1257219,19546564984536
29,1694352,7835,16264023482499,3480,730603,7835,1,138792135,182102779,4,64,12798435,15397037,1256737,19552229986494
30,1692514,7835,16084225124866,3114,590951,7835,1,131245120,181316779,4,63,12756966,15347351,1257700,19458356373991
31,1690547,7835,15917031029610,4497,1065845,7835,1,124750158,180581736,5,64,12718505,15301770,1246390,19369624345148
32,1693295,7835,16146727426334,4147,750626,7835,1,133954335,181572270,5,64,12771550,15364949,1252225,19490960464090
33,1693822,7835,16197172144494,3114,102805,7835,1,135992687,181797600,5,66,12783150,15378740,1256931,19517432936578
34,1694200,7835,16240536067089,3116,47931,7835,1,137797761,181993710,4,66,12793086,15390615,1256454,19540058091819
35,1666331,7835,14268955481981,4670,1130881,7835,1,56568866,174840433,5,63,12332748,14839222,1125112,18496240924502
36,1665973,7835,14229526979284,4670,1136237,7835,1,54947145,174702963,6,63,12323564,14828266,1144468,18475289008460
37,1666057,7835,14246865705536,4670,1098957,7835,1,55588571,174773632,6,63,12327547,14833002,1216661,18484579938956
38,1666115,7835,14256769224553,4670,1126104,7835,1,55996681,174811962,6,63,12329850,14835785,1195639,18489848581168
39,1665997,7835,14245101977539,4670,1086140,7835,1,55467350,174776233,6,63,12327097,14832443,1230247,18483720621900
40,1666558,7835,14297186212262,4670,1132047,7835,1,57732079,174939943,5,63,12339331,14847135,1125258,18511210664249
41,1666175,7835,14256927724294,4670,1127589,7835,1,56064061,174800637,6,63,12329939,14835921,1172609,18489823720176
42,1666380,7835,14288659952609,4670,1138775,7835,1,57346687,174920577,6,63,12337319,14844798,1150443,18506701147719
43,1666433,7835,14300753386162,4670,1126154,7835,1,57809259,174970673,6,63,12340119,14848159,1163512,18513165871157
44,1666375,7835,14295693294944,4670,1127654,7835,1,57579979,174956449,6,63,12338918,14846702,1177233,18510520889720
45,1667503,7835,14405896431913,4670,1136212,7835,1,62211508,175320405,5,63,12364707,14877628,1125162,18568887025848
46,1666918,7835,14350871212553,4670,1077672,7835,1,59869789,175133784,5,63,12351800,14862131,1236403,18539709268281
47,1667082,7835,14372282288793,4670,1087498,7835,1,60711095,175213838,5,63,12356751,14868035,1243270,18551151854730
48,1667096,7835,14378077905088,4670,1093229,7835,1,60944761,175238912,5,63,12358108,14869696,1237372,18554235168506
49,1666916,7835,14360021132613,4668,1059697,7835,1,60154311,175180075,5,63,12353854,14864540,1248399,18544715493278
50,1673543,7835,14921854517757,4670,1151627,7835,1,83473679,177098702,5,63,12485487,15022599,1119855,18842964046969
51,1672671,7835,14874207606382,4671,1193037,7835,1,81616996,176940790,6,63,12474429,15009647,683753,18817453049759
52,1673082,7835,14919965834544,4671,1190477,7835,1,83434568,177121567,7,63,12485131,15022508,472760,18841900806837
53,1673238,7835,14938289698793,4671,1180233,7835,1,84126163,177195837,7,63,12489386,15027574,545202,18851737184359
54,1672561,7835,14891090320474,4671,1184586,7835,1,82175313,177036737,7,63,12478317,15014308,495078,18826679978935
55,1667359,7835,14390178404562,4670,1135643,7835,1,61563844,175265628,5,63,12361036,14873218,1125209,18560545140134
56,1666750,7835,14330884030749,4670,1069196,7835,1,59040705,175063826,5,63,12347130,14856510,1239866,18529113253695
57,1666926,7835,14353545700441,4670,1084752,7835,1,59939245,175147639,5,63,12352375,14862770,1244778,18541211116111
58,1666914,7835,14356516287564,4670,1082767,7835,1,60050838,175162949,5,63,12353069,14863628,1241914,18542799072664
59,1666773,7835,14341995003918,4667,1056157,7835,1,59413188,175115669,5,63,12349645,14859473,1249701,18535150069103
60,1692171,7835,16062391878504,3114,572556,7835,1,130299517,181234426,4,63,12751874,15341235,1257702,19446953675274
61,1692516,7835,16065449116119,3779,1006035,7835,1,130741027,181195274,5,64,12752848,15342682,1253945,19448030014631
62,1694048,7835,16219127965973,3116,745404,7835,1,136934299,181886499,4,64,12788175,15384763,1257589,19528861991095
63,1694285,7835,16251743062391,3116,489940,7835,1,138282751,182041175,4,64,12795641,15393689,1257496,19545855580838
64,1694314,7835,16256951017281,3114,322303,7835,1,138494208,182067793,4,65,12796826,15395103,1257557,19548567789231
65,1666386,7835,14275903215118,4670,1131163,7835,1,56855122,174864955,5,63,12334368,14841169,1125184,18499924678449
66,1666034,7835,14237723148908,4670,1141241,7835,1,55290930,174731899,6,63,12325479,14830577,1126237,18479625638816
67,1666247,7835,14271826402444,4670,1140366,7835,1,56661760,174861359,6,63,12333405,14840107,1119918,18497763581613
68,1666307,7835,14284396971539,4670,1134034,7835,1,57147491,174912710,6,63,12336315,14843599,1131374,18504480730666
69,1666258,7835,14280780261820,4670,1131897,7835,1,56975059,174904012,6,63,12335450,14842548,1152417,18502602152259
70,1666945,7835,14343343553334,4670,1133883,7835,1,59633995,175101969,5,63,12350101,14860078,1125295,18535693863975
71,1666488,7835,14297735420187,4670,1106296,7835,1,57717282,174945803,6,63,12339432,14847303,1212484,18511488344225
72,1666655,7835,14322740967092,4670,1113272,7835,1,58709240,175040846,5,63,12345228,14854247,1219624,18524824260461
73,1666674,7835,14329571182823,4670,1109833,7835,1,58970127,175070757,6,63,12346812,14856162,1216166,18528477842919
74,1666561,7835,14318297470362,4670,1093329,7835,1,58470543,175035086,5,63,12344151,14852932,1233134,18522548771590
75,1666648,7835,14308173569020,4670,1132478,7835,1,58184777,174978585,5,63,12341894,14850215,1125336,18517037931387
76,1666288,7835,14270983475383,4670,1160941,7835,1,56689762,174848965,6,63,12333256,14839968,1012400,18497223405747
77,1666594,7835,14317079008251,4670,1153220,7835,1,58546982,175022420,6,63,12343986,14852870,997911,18521736147570
78,1666664,7835,14330802661103,4670,1148107,7835,1,59074109,175078511,6,63,12347160,14856673,1026199,18529080564637
79,1666607,7835,14326899000656,4670,1150222,7835,1,58894626,175069153,6,63,12346233,14855555,1030577,18527044402155
80,1682216,7835,15460287137981,4670,1165811,7835,1,105665771,178975522,6,63,12611647,15173751,1108563,19128786077498
81,1680175,7835,15361291814474,4671,1205493,7835,1,101691440,178636090,7,63,12588586,15146474,486002,19076115783547
82,1680220,7835,15377948047237,4671,1200437,7835,1,102307684,178717079,7,63,12592463,15151121,319267,19085086982799
83,1680097,7835,15374977088224,4671,1193169,7835,1,102150251,178713801,7,63,12591751,15150251,327675,19083567787346
84,1678863,7835,15304774719090,4671,1194254,7835,1,99252275,178470445,7,63,12575308,15130576,298579,19046340811445
85,1667560,7835,14412082161367,4670,1136434,7835,1,62466397,175341943,5,63,12366152,14879364,1125137,18572170171651
86,1666920,7835,14351361884910,4669,1063908,7835,1,59876361,175135929,5,63,12351903,14862239,1242088,18539984037319
87,1667112,7835,14374908282157,4669,1082341,7835,1,60813200,175222207,5,63,12357356,14868746,1246173,18552552803121
88,1667096,7835,14377671428746,4670,1081205,7835,1,60918086,175236849,5,63,12358004,14869553,1242964,18554027744435
89,1666943,7835,14362001077760,4667,1052684,7835,1,60231215,175185703,5,63,12354309,14865071,1250434,18545769921919
90,1666188,7835,14250681599819,4670,1130085,7835,1,55815892,174775837,5,63,12328488,14834102,1125029,18486553004868
91,1665846,7835,14211634284908,4670,1148003,7835,1,54225559,174638732,6,63,12319409,14823287,1090463,18465791597981
92,1666045,7835,14245078548436,4670,1133008,7835,1,55556225,174766640,6,63,12327169,14832603,1131972,18483586482685
93,1666095,7835,14255533506722,4670,1136030,7835,1,55963418,174809454,6,63,12329587,14835506,1130320,18489173085976
94,1666055,7835,14253363079249,4670,1126826,7835,1,55845835,174806292,6,63,12329059,14834858,1161489,18488063742864
95,1692342,7835,16073106341997,3114,575932,7835,1,130763294,181274573,4,63,12754373,15344236,1257701,19452549994807
96,1692527,7835,16066040273295,4014,1020649,7835,1,130769646,181197418,5,64,12752988,15342853,1253049,19448337236705
97,1694045,7835,16218489950591,3115,872940,7835,1,136910284,181882271,4,63,12788024,15384585,1257646,19528525266261
98,1694302,7835,16254200068701,3221,846968,7835,1,138391468,182051810,4,64,12796203,15394369,1257194,19547123019406
99,1694340,7835,16261749892595,3440,736522,7835,1,138698849,182091056,4,64,12797919,15396420,1256741,19551050269466
100,1666600,7835,14302387621879,4670,1132258,7835,1,57946396,174958242,5,63,12340544,14848593,1125274,18513969132969
101,1666236,7835,14264761226280,4670,1135847,7835,1,56396811,174828053,6,63,12331774,14838140,1149237,18493965199609
102,1666450,7835,14297947472163,4670,1139330,7835,1,57731260,174953888,6,63,12339489,14847415,1137870,18511623073496
103,1666506,7835,14310087094520,4670,1131460,7835,1,58198299,175003886,6,63,12342300,14850790,1146850,18518112618590
104,1666441,7835,14304550611541,4670,1128362,7835,1,57944971,174988400,6,63,12340986,14849194,1169640,18515218201152
105,1692274,7835,16068779172622,3114,573279,7835,1,130575894,181258301,4,63,12753364,15343024,1257702,19450289926045
106,1693355,7835,16140004984476,3268,929619,7835,1,133749719,181519173,4,64,12770031,15363142,1256274,19487306212903
107,1694236,7835,16244434818580,3122,459226,7835,1,137977455,182006950,4,64,12793973,15391692,1257372,19542060188447
108,1694339,7835,16261945358254,3114,104005,7835,1,138696476,182093994,4,65,12797961,15396458,1257604,19551165448240
109,1694347,7835,16263371930302,3114,75661,7835,1,138754976,182101407,4,66,12798285,15396845,1257602,19551906321549
110,1666343,7835,14270524339343,4670,1130932,7835,1,56633478,174845973,5,63,12333113,14839662,1125171,18497072666312
111,1665998,7835,14232497417651,4670,1153229,7835,1,55092182,174712806,6,63,12324275,14829150,1062697,18476838139380
112,1666243,7835,14271667977081,4670,1144005,7835,1,56664451,174861227,6,63,12333380,14840094,1074264,18497667795986
113,1666303,7835,14283940885001,4670,1141435,7835,1,57138724,174911410,6,63,12336219,14843498,1086890,18504229721184
114,1666262,7835,14281767779916,4670,1138935,7835,1,57025948,174908109,6,63,12335693,14842857,1109514,18503115382272
115,1666351,7835,14271510518633,4670,1130967,7835,1,56674104,174849455,5,63,12333343,14839938,1125200,18497595612566
116,1665993,7835,14231666837356,4670,1160735,7835,1,55069157,174709527,6,63,12324091,14828943,1006289,18476385645716
117,1666274,7835,14275986072327,4670,1148327,7835,1,56850935,174876787,6,63,12334397,14841332,1024073,18499946864525
118,1666334,7835,14288216138458,4670,1145584,7835,1,57320867,174926990,6,63,12337223,14844716,1048168,18506491206079
119,1666297,7835,14286529838069,4670,1147016,7835,1,57233117,174925363,6,63,12336815,14844223,1052310,18505629922173
120,1666814,7835,14328063910532,4670,1133292,7835,1,59004395,175048419,5,63,12346535,14855793,1125282,18527588039678
121,1666383,7835,14284243455131,4670,1112569,7835,1,57169749,174897920,6,63,12336292,14843537,1203540,18504325664160
122,1666472,7835,14300387148375,4670,1094463,7835,1,57773431,174962659,5,63,12340002,14847947,1232181,18512982600012
123,1666527,7835,14310162588296,4670,1112305,7835,1,58174054,175000902,6,63,12342281,14850706,1220341,18518181497700
124,1666367,7835,14293631533882,4670,1072874,7835,1,57443299,174947844,5,63,12338388,14845988,1241742,18509474997211
125,1666531,7835,14293899295059,4670,1131919,7835,1,57596655,174928374,5,63,12338564,14846214,1125224,18509467523178
126,1666148,7835,14253339798902,4670,1126939,7835,1,55915665,174787940,6,63,12329103,14834913,1173981,18487922680334
127,1666277,7835,14275708641996,4670,1111381,7835,1,56781994,174875455,6,63,12334272,14841094,1209229,18499866931714
128,1666325,7835,14285237072231,4670,1122498,7835,1,57163250,174913815,6,63,12336485,14843765,1196524,18504946598915
129,1666221,7835,14275272935059,4670,1096561,7835,1,56711511,174883540,6,63,12334130,14840905,1225020,18499716546312
130,1667392,7835,14393810287413,4670,1135741,7835,1,61713426,175278294,5,63,12361884,14874236,1125320,18562472693123
131,1667047,7835,14364019327631,4670,1160439,7835,1,60521865,175176472,6,63,12354963,14866070,1032379,18546565198317
132,1667345,7835,14406370517952,4670,1169225,7835,1,62245498,175336532,6,63,12364851,14877989,865249,18569093387819
133,1667493,7835,14429838446299,4670,1152181,7835,1,63152642,175428954,6,63,12370296,14884506,955719,18581638433403
134,1667337,7835,14414899603973,4670,1163754,7835,1,62530721,175380395,6,63,12366795,14880305,904912,18573735076714
135,1667430,7835,14397918636404,4670,1135915,7835,1,61882759,175292612,5,63,12362843,14875389,1125220,18564652947085
136,1666709,7835,14326358197457,4666,1038230,7835,1,58827436,175048757,5,63,12346052,14855180,1248372,18526741271130
137,1667063,7835,14368067727869,4670,1139943,7835,1,60594082,175196563,5,63,12355807,14866958,1210612,18548863856689
138,1666886,7835,14357643636497,4670,1076121,7835,1,60093934,175172076,6,63,12353346,14863997,1233168,18543397073940
139,1666889,7835,14356378613693,4670,1119902,7835,1,60054332,175167118,6,63,12353041,14863623,1223372,18542744197530
140,1692502,7835,16083460220438,3114,589419,7835,1,131211965,181313850,4,63,12756787,15347137,1257700,19457956945958
141,1693024,7835,16109004934224,3908,1004898,7835,1,132507232,181382301,5,64,12762900,15354661,1253953,19470977890729
142,1694119,7835,16227402381363,3114,894277,7835,1,137280321,181922906,4,63,12790068,15387028,1257661,19533173013056
143,1694325,7835,16258203544564,3393,920676,7835,1,138557068,182071675,4,64,12797114,15395459,1257062,19549202531277
144,1694353,7835,16264384662576,3632,791154,7835,1,138807627,182104508,4,64,12798517,15397136,1256640,19552416522611
145,1667782,7835,14435728671543,4670,1137231,7835,1,63440698,175424187,5,63,12371677,14886001,1125171,18584722061875
146,1667398,7835,14403841290502,4670,1169968,7835,1,62181179,175315307,6,63,12364280,14877294,950638,18567674659098
147,1667784,7835,14455403167795,4671,1170497,7835,1,64268755,175508920,6,63,12376317,14891783,813497,18595117339682
148,1667913,7835,14475951681155,4670,1158396,7835,1,65057922,175590864,6,63,12381082,14897482,892094,18606117148710
149,1667741,7835,14460521199557,4671,1165705,7835,1,64410714,175541226,6,63,12377462,14893136,858013,18597954915136
150,1692476,7835,16081765589700,3114,586298,7835,1,131138524,181307374,4,63,12756392,15346662,1257701,19457072099181
151,1691414,7835,15979084236081,4428,1056888,7835,1,127260354,180833758,5,64,12732886,15318909,1248617,19402429211362
152,1693583,7835,16172098095355,3873,699219,7835,1,134999306,181680801,5,64,12777392,15371913,1253655,19504259206848
153,1693853,7835,16200055188588,3114,103483,7835,1,136112176,181809528,4,66,12783809,15379525,1257255,19518939229491
154,1694103,7835,16227218667445,3114,55975,7835,1,137242132,181931545,4,66,12790039,15386964,1257055,19533123527093
155,1684056,7835,15564694509898,4670,1168778,7835,1,109969308,179349550,6,63,12636073,15202984,1105471,19184104067139
156,1684352,7835,15593572850336,4670,1149469,7835,1,111126976,179460440,6,63,12642817,15211136,1172968,19199362422551
157,1685709,7835,15638211167376,3114,560193,7835,1,112794604,179577295,4,64,12653100,15222973,1257690,19222990671630
158,1689900,7835,15864481262330,3114,396252,7835,1,122247637,180382898,4,64,12705954,15286168,1257706,19342377169520
159,1694008,7835,16209831892937,3114,676369,7835,1,136558358,181835140,4,63,12786037,15382181,1257703,19523985932275
160,1666622,7835,14305059804046,4670,1132369,7835,1,58056512,174967638,5,63,12341167,14849342,1125271,18515386406221
161,1666230,7835,14264145301195,4670,1124130,7835,1,56356792,174826355,6,63,12331618,14837934,1181309,18493654515878
162,1666424,7835,14294246492052,4670,1132514,7835,1,57566933,174940428,6,63,12338612,14846340,1173615,18509674907913
163,1666468,7835,14304844181920,4670,1123494,7835,1,57972749,174984745,6,63,12341066,14849290,1178255,18515340775285
164,1666398,7835,14298534612922,4670,1119238,7835,1,57686787,174966334,6,63,12339570,14847473,1197664,18512037567605
165,1693486,7835,16165486774385,4670,1192656,7835,1,134729471,181660164,6,63,12775841,15370063,1097859,19500870559175
166,1692307,7835,16077143734275,4671,1220469,7835,1,131123111,181299532,7,63,12755479,15345863,241509,19454504021605
167,1692596,7835,16094972165969,4671,1182712,7835,1,131839354,181368303,7,63,12759593,15350720,715502,19463874570216
168,1692260,7835,16071169089882,4671,1201329,7835,1,130869418,181273824,7,63,12754096,15344180,369213,19451375784960
169,1691230,7835,16004613479221,4671,1204840,7835,1,128126416,181015280,7,63,12738683,15325815,194405,19416398728871
170,1667169,7835,14368987115621,4670,1134859,7835,1,60690643,175191664,5,63,12356087,14867272,1125261,18549299671459
171,1666644,7835,14317459005987,4670,1089391,7835,1,58509505,175015932,5,63,12344016,14852791,1228788,18521969612744
172,1666795,7835,14338987227742,4670,1095948,7835,1,59354679,175097515,5,63,12348995,14858737,1237483,18533469670569
173,1666808,7835,14344819809956,4670,1098216,7835,1,59583937,175122982,5,63,12350354,14860391,1232306,18536580638265
174,1666660,7835,14329584124614,4669,1070512,7835,1,58914325,175073642,5,63,12346763,14856037,1245119,18528555100813
175,1666119,7835,14241607694181,4670,1129691,7835,1,55442011,174743703,5,63,12326373,14831559,1124948,18481743071568
176,1665775,7835,14201458095759,4670,1155459,7835,1,53816456,174602098,6,63,12317048,14820459,1041801,18460389367271
177,1665929,7835,14229684288975,4670,1113404,7835,1,54904340,174712721,6,63,12323569,14828254,1175322,18475445294414
178,1665966,7835,14236987028806,4670,1139611,7835,1,55201543,174742282,6,63,12325261,14830296,1141694,18479342687680
179,1665908,7835,14233318849439,4670,1110048,7835,1,55007816,174734960,6,63,12324378,14829212,1193944,18477449121871
180,1692363,7835,16074451990667,3114,577091,7835,1,130821580,181279649,4,63,12754687,15344613,1257701,19453252789886
181,1694064,7835,16218313079458,3116,603168,7835,1,136915121,181878417,4,64,12788004,15384557,1257491,19528411582293
182,1694228,7835,16241429496882,3114,778976,7835,1,137862006,181987526,4,63,12793281,15390865,1257691,19540478132447
183,1694336,7835,16260180365830,3466,1004958,7835,1,138639545,182081239,4,63,12797564,15395997,1257168,19550227496495
184,1694346,7835,16262618033833,3756,975418,7835,1,138738221,182094368,4,63,12798117,15396659,1256856,19551495092412
185,1666789,7835,14325025713712,4670,1133160,7835,1,58879195,175037763,5,63,12345826,14854941,1125320,18525976559592
186,1666374,7835,14283013315657,4670,1118131,7835,1,57125656,174893356,6,63,12336010,14843207,1194392,18503666415154
187,1666595,7835,14315372328260,4670,1148026,7835,1,58453978,175014461,6,63,12343553,14852301,1132473,18520862747864
188,1666654,7835,14329332503485,4670,1123173,7835,1,58980721,175072628,6,63,12346785,14856177,1162922,18528329070335
189,1666587,7835,14322581797948,4670,1135254,7835,1,58690832,175051670,6,63,12345192,14854253,1162708,18524781461791
190,1666478,7835,14287365550453,4670,1131642,7835,1,57327421,174905364,5,63,12337040,14844382,1125228,18506002679710
191,1666121,7835,14249484930492,4670,1138905,7835,1,55772057,174773767,6,63,12328217,14833867,1136825,18485862915644
192,1666330,7835,14282608996280,4670,1137725,7835,1,57100238,174899670,6,63,12335914,14843117,1136554,18503487510417
193,1666385,7835,14294483460694,4670,1132691,7835,1,57559067,174948404,6,63,12338663,14846418,1142639,18509833750772
194,1666329,7835,14290028137845,4670,1128271,7835,1,57349716,174936857,6,63,12337601,14845127,1166710,18507512591629
195,1666481,7835,14287694673566,4670,1131656,7835,1,57340982,174906524,5,63,12337117,14844474,1125227,18506177139364
196,1666125,7835,14249995908072,4670,1139701,7835,1,55794134,174775546,6,63,12328337,14834012,1133829,18486132570870
197,1666332,7835,14282991597251,4670,1136567,7835,1,57114661,174901110,6,63,12336002,14843222,1139597,18503691630179
198,1666387,7835,14294647538792,4670,1133412,7835,1,57566354,174948912,6,63,12338701,14846464,1141870,18509920528224
199,1666325,7835,14289689419956,4670,1125886,7835,1,57333205,174935746,6,63,12337520,14845027,1172074,18507335496395
200,1666863,7835,14333736728576,4670,1133515,7835,1,59238151,175068310,5,63,12347859,14857384,1125280,18530597399869
201,1666407,7835,14287485150445,4670,1105737,7835,1,57295342,174909631,6,63,12337041,14844429,1212769,18506052991750
202,1666480,7835,14301072542610,4670,1086139,7835,1,57792314,174964890,5,63,12340152,14848112,1238345,18513356734346
203,1666541,7835,14311373463840,4670,1107113,7835,1,58218460,175004529,5,63,12342557,14851026,1227647,18518828945602
204,1666365,7835,14293004452082,4669,1062962,7835,1,57410190,174945070,5,63,12338234,14845789,1245587,18509149011382
205,1666546,7835,14295789986480,4670,1131990,7835,1,57674547,174935029,5,63,12339005,14846744,1125251,18510470184310
206,1666178,7835,14257125272540,4670,1133324,7835,1,56079309,174801102,6,63,12329992,14835992,1156646,18489920725251
207,1666380,7835,14288959250102,4670,1136160,7835,1,57357171,174922000,6,63,12337389,14844883,1151445,18506860855993
208,1666433,7835,14300603886172,4670,1129569,7835,1,57806274,174969995,6,63,12340086,14848122,1156622,18513084246855
209,1666366,7835,14294764609929,4670,1123801,7835,1,57538158,174953479,6,63,12338699,14846437,1182292,18510031419264
210,1666506,7835,14290869428587,4670,1131796,7835,1,57471811,174917706,5,63,12337858,14845364,1125209,18507860763533
211,1666130,7835,14250935452290,4670,1129484,7835,1,55819828,174779306,6,63,12328545,14834246,1167226,18486644856794
212,1666226,7835,14269185459081,4670,1101790,7835,1,56504934,174852694,6,63,12332745,14839248,1218578,18496416760952
213,1666283,7835,14279239742516,4670,1123512,7835,1,56916685,174891971,6,63,12335085,14842076,1200368,18501767224152
214,1666152,7835,14266051388884,4670,1085013,7835,1,56323974,174850828,6,63,12331974,14838302,1232584,18494833760863
215,1667498,7835,14405401743138,4670,1136159,7835,1,62191056,175318685,5,63,12364591,14877489,1125291,18568624647969
216,1667107,7835,14370813469982,4670,1169686,7835,1,60819641,175199837,6,63,12356565,14868019,947369,18550150019675
217,1667501,7835,14424352094163,4670,1166720,7835,1,62984284,175400277,6,63,12369055,14883046,853588,18578638671443
218,1667605,7835,14442224632072,4670,1156850,7835,1,63668255,175472374,6,63,12373195,14887998,918305,18588210310866
219,1667469,7835,14430212270653,4670,1162746,7835,1,63159551,175434704,6,63,12370374,14884609,895757,18581865407970
220,1692012,7835,16053209008943,3114,597765,7835,1,129902462,181201307,4,63,12749731,15338667,1257701,19442160853574
221,1692165,7835,16037579491537,3866,1013987,7835,1,129614841,181077788,5,64,12746412,15335022,1253065,19433323636189
222,1693376,7835,16150551948477,3477,651484,7835,1,134125526,181583139,5,64,12772444,15366010,1254055,19492935968898
223,1693741,7835,16188041190851,3114,133382,7835,1,135616041,181755593,4,65,12781048,15376225,1257271,19512654512226
